t_ms,x_mm,y_mm,yaw_deg
385,0,0,0.3
489,0,0,0.3
588,0,0,0.3
689,0,0,0.3
792,0,0,0.3
886,0,0,0.3
1000,0,0,0.3
1085,0,0,0.3
1185,0,0,0.3
1285,0,0,0.3
1385,0,0,0.3
1489,0,0,0.3
1586,0,0,0.3
1685,0,0,0.3
1785,0,0,0.3
1885,0,0,0.3
2010,0,0,0.3
2099,0,0,0.3
2193,0,0,0.3
2311,0,0,0.3
2386,0,0,0.3
2485,0,0,0.3
2586,0,0,0.3
2685,0,0,0.3
2785,0,0,0.3
2885,0,0,0.3
2990,0,0,0.3
3087,0,0,0.3
3185,0,0,0.3
3286,0,0,0.3
3415,0,0,0.3
3485,0,0,0.4
3587,0,0,0.4
3685,0,0,0.4
3785,0,0,0.4
3886,0,0,0.4
3985,0,0,0.4
4086,0,0,0.4
4185,0,0,0.4
4286,0,0,0.4
4393,0,0,0.4
4485,0,0,0.4
4585,0,0,0.4
4685,0,0,0.4
4791,0,0,0.4
4888,0,0,0.4
4985,0,0,0.4
5085,0,0,0.4
5185,0,0,0.4
5286,0,0,0.4
5396,0,0,0.4
5484,0,0,0.4
5584,0,0,0.4
5684,0,0,0.4
5788,0,0,0.4
5885,0,0,0.4
5987,0,0,0.4
6085,0,0,0.4
6184,0,0,0.4
6284,0,0,0.4
6384,0,0,0.4
6485,0,0,0.4
6583,0,0,0.4
6684,0,0,0.4
6799,0,0,0.5
6884,0,0,0.5
6986,0,0,0.5
7089,0,0,0.5
7184,0,0,0.5
7284,0,0,0.5
7384,0,0,0.5
7483,0,0,0.5
7585,0,0,0.5
7684,0,0,0.5
7786,0,0,0.5
7906,0,0,0.5
7985,0,0,0.5
8084,0,0,0.5
8198,0,0,0.5
8284,0,0,0.5
8384,0,0,0.5
8493,0,0,0.5
8614,0,0,0.5
8685,0,0,0.5
8784,0,0,0.5
8892,0,0,0.5
8984,0,0,0.5
9086,0,0,0.5
9184,0,0,0.5
9287,0,0,0.5
9383,0,0,0.5
9485,0,0,0.5
9584,0,0,0.5
9684,0,0,0.5
9785,0,0,0.5
9883,0,0,0.5
9984,0,0,0.6
10084,0,0,0.6
10184,0,0,0.6
10284,0,0,0.6
10384,0,0,0.6
10487,0,0,0.6
10585,0,0,0.6
10720,0,0,0.6
10785,0,0,0.6
10884,0,0,0.6
10984,0,0,0.6
11084,0,0,0.6
11186,0,0,0.6
11303,0,0,0.6
11384,0,0,0.6
11483,0,0,0.6
11590,0,0,0.6
11685,0,0,0.6
11784,0,0,0.6
11884,0,0,0.6
11985,0,0,0.6
12084,0,0,0.6
12189,0,0,0.6
12290,0,0,0.6
12384,0,0,0.6
12484,0,0,0.6
12584,0,0,0.6
12685,0,0,0.6
12784,0,0,0.6
12884,0,0,0.6
12986,0,0,0.6
13083,0,0,0.6
13184,0,0,0.6
13284,0,0,0.7
13389,0,0,0.7
13484,0,0,0.7
13585,0,0,0.7
13691,0,0,0.7
13784,0,0,0.7
13884,0,0,0.7
13984,0,0,0.7
14084,0,0,0.7
14185,0,0,0.7
14309,0,0,0.7
14383,0,0,0.7
14485,0,0,0.7
14584,0,0,0.7
14684,0,0,0.7
14785,0,0,0.7
14884,0,0,0.7
15002,0,0,0.7
15084,0,0,0.7
15184,0,0,0.7
15284,0,0,0.7
15400,0,0,0.7
15484,0,0,0.7
15584,0,0,0.7
15684,0,0,0.7
15787,0,0,0.7
15884,0,0,0.7
15984,0,0,0.7
16084,0,0,0.7
16191,0,0,0.7
16284,0,0,0.7
16391,0,0,0.7
16484,0,0,0.7
16584,0,0,0.8
16684,0,0,0.8
16785,0,0,0.8
16894,0,0,0.8
16984,0,0,0.8
17084,0,0,0.8
17189,0,0,0.8
17284,0,0,0.8
17384,0,0,0.8
17484,0,0,0.8
17585,0,0,0.8
17685,0,0,0.8
17784,0,0,0.8
17884,0,0,0.8
17983,0,0,0.8
18085,0,0,0.8
18185,0,0,0.8
18284,0,0,0.8
18384,0,0,0.8
18484,0,0,0.8
18584,0,0,0.8
18684,0,0,0.8
18784,0,0,0.8
18885,0,0,0.8
18984,0,0,0.8
19084,0,0,0.8
19184,0,0,0.8
19283,0,0,0.8
19383,0,0,0.8
19486,0,0,0.8
19597,0,0,0.8
19683,0,0,0.8
19784,0,0,0.8
19884,0,0,0.9
19984,0,0,0.9
20083,0,0,0.9
20183,0,0,0.9
20283,0,0,0.9
20383,0,0,0.9
20484,0,0,0.9
20585,0,0,0.9
20683,0,0,0.9
20783,0,0,0.9
20884,0,0,0.9
20983,0,0,0.9
21094,0,0,0.9
21183,0,0,0.9
21306,0,0,0.9
21383,0,0,0.9
21483,0,0,0.9
21583,0,0,0.9
21683,0,0,0.9
21784,0,0,0.9
21883,0,0,0.9
21995,0,0,0.9
22084,0,0,0.9
22198,0,0,0.9
22283,0,0,0.9
22383,0,0,0.9
22483,0,0,0.9
22590,0,0,0.9
22683,0,0,0.9
22783,0,0,0.9
22884,0,0,0.9
22984,0,0,0.9
23103,0,0,0.9
23183,0,0,1.0
23284,0,0,1.0
23384,0,0,1.0
23483,0,0,1.0
23584,0,0,1.0
23684,0,0,1.0
23787,0,0,1.0
23884,0,0,1.0
23983,0,0,1.0
24084,0,0,0.8
24184,0,0,1.1
24283,0,0,1.1
24385,0,0,1.1
24483,0,0,1.1
24582,0,0,1.1
24683,0,0,1.1
24786,0,0,1.1
24889,0,0,1.1
24989,0,0,1.1
25085,0,0,1.1
25191,0,0,1.1
25283,0,0,1.1
25383,0,0,1.1
25483,0,0,1.1
25584,0,0,1.1
25683,0,0,1.1
25783,0,0,1.1
25883,0,0,1.1
25983,0,0,1.1
26085,0,0,1.1
26184,0,0,1.1
26284,0,0,1.1
26383,0,0,1.1
26484,0,0,1.1
26583,0,0,1.3
26684,0,0,1.3
26790,0,0,1.3
26885,0,0,1.3
26984,0,0,1.3
27083,0,0,1.4
27186,0,0,1.4
27294,0,0,1.4
27383,0,0,1.4
27519,4,0,1.4
27592,10,0,1.4
27688,19,0,1.4
27783,29,0,1.4
27883,39,1,2.2
27983,50,1,2.2
28083,60,1,2.5
28189,71,2,2.8
28283,84,2,2.6
28397,99,3,2.5
28498,112,4,4.1
28585,125,5,4.0
28720,135,5,4.0
28784,141,6,7.8
28907,147,7,11.0
28991,147,7,11.4
29103,147,7,11.4
29204,148,7,11.4
29283,150,8,13.5
29384,152,8,16.5
29483,150,8,15.9
29584,142,6,12.2
29684,140,5,10.1
29799,140,5,10.0
29883,139,5,9.3
29983,138,5,9.3
30087,138,5,9.3
30183,138,5,9.3
30284,138,5,10.7
30403,138,5,10.8
30504,143,6,13.0
30583,141,6,11.2
30684,137,5,9.2
30783,135,4,8.7
30884,135,4,8.6
30994,134,4,7.9
31083,134,4,7.9
31183,136,5,7.5
31283,144,6,6.5
31383,161,7,3.3
31501,181,8,3.5
31584,197,9,5.0
31684,211,11,5.8
31783,223,12,6.3
31883,237,14,7.6
31984,253,16,7.3
32083,270,18,7.9
32206,289,21,7.9
32307,308,23,8.0
32383,330,26,8.6
32484,356,30,8.7
32583,383,34,7.7
32686,412,38,7.0
32783,441,41,6.9
32883,470,45,7.1
32983,499,49,7.7
33083,527,53,8.5
33184,554,57,8.5
33284,581,61,7.5
33383,610,64,5.9
33484,637,67,6.8
33584,661,70,9.4
33684,686,75,11.7
33798,710,80,11.0
33926,734,84,10.3
33983,759,89,9.6
34086,782,93,9.6
34183,803,96,10.3
34283,823,100,10.5
34384,844,104,10.0
34483,867,108,9.1
34595,881,110,9.3
34696,886,111,10.5
34786,889,111,12.5
34883,892,112,13.7
34983,892,112,13.3
35083,887,111,11.6
35184,885,111,11.2
35283,886,111,11.5
35384,891,112,12.2
35484,903,114,12.0
35583,920,118,12.0
35684,943,123,11.3
35783,971,128,11.0
35883,997,133,11.5
35983,1023,139,13.3
36083,1048,145,14.3
36183,1069,151,15.2
36298,1089,157,16.9
36384,1112,164,16.3
36484,1135,170,15.2
36591,1160,177,14.4
36684,1186,183,14.9
36784,1212,190,14.8
36897,1244,199,14.4
36994,1282,209,15.4
37083,1321,220,16.4
37183,1364,232,16.2
37283,1408,245,15.9
37384,1451,257,15.9
37488,1491,269,16.9
37584,1530,281,17.2
37684,1557,289,16.8
37784,1568,293,15.5
37884,1570,293,15.7
37989,1576,295,17.2
38083,1581,297,17.6
38184,1581,297,17.6
38284,1581,296,17.6
38392,1581,297,17.8
38484,1581,297,17.8
38584,1581,297,17.8
38683,1581,297,17.8
38788,1581,297,17.8
38908,1581,297,17.8
38984,1581,297,17.8
39110,1583,297,17.8
39183,1594,301,18.1
39284,1614,307,17.9
39384,1641,316,18.3
39484,1671,326,18.3
39583,1703,336,18.1
39683,1737,347,18.4
39783,1774,360,17.8
39883,1814,372,17.1
39983,1855,385,16.8
40083,1895,397,16.9
40183,1932,408,17.1
40283,1968,419,17.1
40383,1999,429,17.4
40483,2020,436,18.8
40583,2029,439,18.6
40684,2034,440,18.5
40783,2037,442,18.5
40884,2045,444,18.5
40984,2054,447,18.9
41083,2057,448,18.6
41184,2058,449,17.8
41283,2059,449,17.8
41383,2061,449,17.4
41484,2071,452,10.6
41584,2090,453,-5.8
41684,2110,448,-21.8
41783,2128,438,-33.2
41884,2143,427,-44.5
41984,2155,412,-55.3
42084,2163,400,-56.7
42186,2172,385,-58.0
42286,2182,370,-57.8
42409,2192,355,-58.0
42488,2201,338,-59.9
42584,2208,327,-59.6
42683,2213,318,-60.0
42784,2220,306,-60.7
42884,2229,290,-61.1
42984,2239,272,-61.3
43084,2249,254,-61.3
43181,2260,234,-61.3
43283,2272,213,-60.2
43383,2285,190,-60.3
43483,2297,168,-60.3
43583,2310,145,-60.5
43683,2322,125,-60.6
43788,2335,101,-61.0
43899,2350,74,-61.6
43983,2365,45,-62.3
44083,2379,19,-63.1
44183,2390,-3,-64.9
44281,2398,-22,-69.2
44383,2404,-39,-74.9
44483,2407,-55,-80.9
44583,2409,-67,-83.3
44704,2410,-81,-85.7
44783,2411,-97,-89.6
44883,2410,-115,-94.3
44983,2409,-130,-99.0
45084,2406,-143,-102.2
45184,2403,-156,-103.5
45284,2400,-170,-105.6
45383,2395,-185,-108.7
45483,2390,-199,-112.7
45583,2383,-213,-116.3
45683,2377,-224,-120.5
45784,2371,-233,-125.9
45885,2366,-240,-132.5
45983,2362,-244,-135.4
46083,2355,-251,-136.7
46183,2346,-259,-139.4
46283,2336,-267,-143.1
46383,2327,-273,-149.0
46483,2319,-277,-155.8
46582,2316,-279,-159.5
46683,2317,-278,-157.6
46782,2318,-278,-156.5
46883,2318,-278,-156.5
46983,2318,-278,-156.5
47083,2318,-278,-156.5
47183,2318,-278,-156.5
47283,2318,-278,-156.5
47386,2318,-278,-156.5
47494,2318,-278,-156.4
47597,2318,-278,-156.4
47682,2318,-278,-156.4
47784,2318,-278,-156.4
47883,2318,-278,-156.4
47990,2318,-278,-156.4
48101,2318,-278,-156.4
48183,2317,-278,-156.2
48293,2317,-278,-156.2
48383,2317,-278,-156.2
48483,2317,-278,-155.9
48583,2315,-279,-154.2
48736,2315,-279,-155.2
48786,2315,-279,-155.2
48934,2315,-279,-155.2
48987,2315,-279,-155.2
49091,2315,-279,-154.8
49196,2314,-279,-154.6
49321,2314,-280,-154.6
49383,2314,-280,-154.6
49483,2310,-281,-155.1
49638,2304,-284,-155.7
49683,2296,-288,-156.4
49783,2288,-291,-158.0
49884,2281,-294,-159.6
49989,2274,-296,-163.1
50083,2265,-299,-166.2
50183,2256,-301,-168.7
50283,2246,-302,-172.6
50383,2235,-303,-176.0
50483,2222,-304,-178.1
50581,2209,-304,-180.7
50683,2196,-304,-183.9
50786,2183,-303,-185.2
50883,2173,-302,-186.6
50983,2166,-301,-187.0
51083,2163,-300,-187.0
51185,2161,-300,-187.2
51296,2152,-299,-187.6
51397,2135,-296,-188.6
51483,2116,-294,-188.6
51583,2096,-291,-188.4
51683,2076,-288,-185.0
51789,2062,-287,-181.5
51881,2052,-287,-178.3
51982,2040,-288,-173.9
52103,2026,-290,-171.2
52183,2010,-293,-170.9
52294,1992,-296,-167.6
52383,1978,-299,-163.5
52483,1971,-302,-159.9
52587,1963,-305,-155.3
52685,1954,-310,-150.9
52788,1945,-315,-148.0
52900,1934,-323,-142.7
52983,1922,-333,-138.6
53083,1909,-344,-134.2
53183,1898,-357,-131.1
53283,1888,-368,-127.7
53383,1881,-380,-121.3
53482,1875,-391,-114.6
53584,1870,-402,-107.8
53682,1867,-414,-101.8
53783,1865,-425,-99.8
53884,1863,-437,-101.2
54018,1862,-443,-101.2
54084,1862,-443,-101.0
54184,1862,-443,-101.0
54290,1862,-443,-101.1
54391,1862,-443,-101.1
54497,1862,-443,-101.1
54583,1862,-443,-101.1
54683,1862,-443,-101.1
54781,1862,-443,-101.1
54882,1862,-443,-101.1
54983,1862,-443,-101.1
55083,1862,-443,-101.0
55183,1862,-443,-101.0
55287,1862,-443,-101.0
55382,1862,-444,-101.4
55483,1861,-445,-101.0
55583,1861,-445,-100.8
55682,1861,-445,-100.7
55783,1861,-446,-100.6
55883,1861,-448,-100.0
55983,1860,-452,-97.0
56082,1859,-460,-94.8
56183,1859,-473,-91.6
56282,1859,-487,-88.6
56382,1859,-500,-85.6
56483,1861,-511,-81.4
56583,1862,-519,-76.2
56682,1864,-527,-71.7
56783,1868,-537,-67.2
56883,1875,-552,-65.3
56983,1883,-569,-62.8
57083,1891,-584,-58.8
57182,1900,-597,-58.5
57283,1908,-611,-58.3
57384,1919,-628,-57.9
57483,1930,-647,-61.7
57583,1938,-664,-66.4
57683,1945,-682,-68.9
57783,1953,-703,-71.8
57882,1959,-724,-74.1
57985,1964,-743,-78.5
58082,1966,-758,-83.3
58185,1968,-774,-88.1
58280,1968,-792,-91.9
58382,1966,-811,-96.0
58482,1964,-828,-99.4
58583,1961,-841,-104.6
58682,1958,-853,-109.0
58783,1953,-865,-110.3
58883,1951,-872,-112.0
58983,1951,-871,-113.1
59083,1951,-871,-113.1
59197,1951,-871,-113.0
59284,1951,-871,-113.0
59397,1951,-871,-113.0
59495,1951,-871,-113.0
59583,1951,-871,-113.0
59683,1951,-871,-113.0
59785,1951,-871,-113.0
59882,1951,-871,-113.0
59992,1951,-871,-113.0
60093,1951,-871,-113.0
60182,1951,-871,-113.0
60281,1951,-871,-113.0
60389,1951,-871,-113.0
60482,1951,-871,-113.0
